source,target,weight
grid1,grid1,245
grid1,grid12,152
grid1,grid13,310
grid1,grid14,168
grid1,grid15,99
grid1,grid16,69
grid1,grid17,169
grid1,grid18,247
grid1,grid19,190
grid1,grid20,42
grid1,grid21,67
grid1,grid22,184
grid1,grid23,86
grid1,grid24,55
grid1,grid25,26
grid1,grid26,41
grid1,grid27,27
grid1,grid28,54
grid1,grid29,9
grid1,grid3,320
grid1,grid30,18
grid1,grid31,22
grid1,grid32,19
grid1,grid33,13
grid1,grid34,9
grid1,grid35,10
grid12,grid1,233
grid12,grid12,641
grid12,grid13,914
grid12,grid14,537
grid12,grid15,207
grid12,grid16,242
grid12,grid17,794
grid12,grid18,511
grid12,grid19,293
grid12,grid20,130
grid12,grid21,458
grid12,grid22,645
grid12,grid23,169
grid12,grid24,162
grid12,grid25,88
grid12,grid26,265
grid12,grid27,83
grid12,grid28,167
grid12,grid29,43
grid12,grid3,217
grid12,grid30,79
grid12,grid31,120
grid12,grid32,102
grid12,grid33,101
grid12,grid34,56
grid12,grid35,47
grid13,grid1,390
grid13,grid12,773
grid13,grid13,1101
grid13,grid14,1082
grid13,grid15,621
grid13,grid16,381
grid13,grid17,993
grid13,grid18,1258
grid13,grid19,755
grid13,grid20,272
grid13,grid21,495
grid13,grid22,1102
grid13,grid23,438
grid13,grid24,384
grid13,grid25,269
grid13,grid26,328
grid13,grid27,238
grid13,grid28,526
grid13,grid29,108
grid13,grid3,296
grid13,grid30,108
grid13,grid31,213
grid13,grid32,260
grid13,grid33,147
grid13,grid34,94
grid13,grid35,100
grid14,grid1,283
grid14,grid12,412
grid14,grid13,934
grid14,grid14,872
grid14,grid15,421
grid14,grid16,196
grid14,grid17,748
grid14,grid18,893
grid14,grid19,1035
grid14,grid20,345
grid14,grid21,274
grid14,grid22,706
grid14,grid23,552
grid14,grid24,492
grid14,grid25,189
grid14,grid26,202
grid14,grid27,271
grid14,grid28,494
grid14,grid29,57
grid14,grid3,152
grid14,grid30,55
grid14,grid31,151
grid14,grid32,219
grid14,grid33,82
grid14,grid34,56
grid14,grid35,51
grid15,grid1,127
grid15,grid12,173
grid15,grid13,522
grid15,grid14,461
grid15,grid15,349
grid15,grid16,67
grid15,grid17,309
grid15,grid18,267
grid15,grid19,496
grid15,grid20,333
grid15,grid21,71
grid15,grid22,228
grid15,grid23,187
grid15,grid24,345
grid15,grid25,189
grid15,grid26,77
grid15,grid27,106
grid15,grid28,345
grid15,grid29,70
grid15,grid3,79
grid15,grid30,26
grid15,grid31,64
grid15,grid32,112
grid15,grid33,40
grid15,grid34,25
grid15,grid35,13
grid16,grid1,63
grid16,grid12,168
grid16,grid13,198
grid16,grid14,114
grid16,grid15,44
grid16,grid16,84
grid16,grid17,184
grid16,grid18,127
grid16,grid19,66
grid16,grid20,33
grid16,grid21,131
grid16,grid22,178
grid16,grid23,29
grid16,grid24,26
grid16,grid25,18
grid16,grid26,86
grid16,grid27,20
grid16,grid28,51
grid16,grid29,6
grid16,grid3,64
grid16,grid30,38
grid16,grid31,40
grid16,grid32,17
grid16,grid33,18
grid16,grid34,21
grid16,grid35,22
grid17,grid1,265
grid17,grid12,686
grid17,grid13,923
grid17,grid14,710
grid17,grid15,350
grid17,grid16,402
grid17,grid17,810
grid17,grid18,830
grid17,grid19,608
grid17,grid20,183
grid17,grid21,628
grid17,grid22,1348
grid17,grid23,287
grid17,grid24,235
grid17,grid25,161
grid17,grid26,500
grid17,grid27,174
grid17,grid28,374
grid17,grid29,76
grid17,grid3,161
grid17,grid30,132
grid17,grid31,257
grid17,grid32,190
grid17,grid33,159
grid17,grid34,115
grid17,grid35,111
grid18,grid1,364
grid18,grid12,395
grid18,grid13,1277
grid18,grid14,877
grid18,grid15,327
grid18,grid16,228
grid18,grid17,756
grid18,grid18,829
grid18,grid19,765
grid18,grid20,199
grid18,grid21,372
grid18,grid22,917
grid18,grid23,541
grid18,grid24,267
grid18,grid25,134
grid18,grid26,307
grid18,grid27,204
grid18,grid28,258
grid18,grid29,65
grid18,grid3,158
grid18,grid30,100
grid18,grid31,215
grid18,grid32,153
grid18,grid33,118
grid18,grid34,88
grid18,grid35,59
grid19,grid1,285
grid19,grid12,308
grid19,grid13,1015
grid19,grid14,1135
grid19,grid15,517
grid19,grid16,172
grid19,grid17,673
grid19,grid18,736
grid19,grid19,831
grid19,grid20,360
grid19,grid21,281
grid19,grid22,674
grid19,grid23,528
grid19,grid24,710
grid19,grid25,319
grid19,grid26,265
grid19,grid27,428
grid19,grid28,664
grid19,grid29,119
grid19,grid3,138
grid19,grid30,81
grid19,grid31,180
grid19,grid32,271
grid19,grid33,83
grid19,grid34,50
grid19,grid35,48
grid20,grid1,57
grid20,grid12,83
grid20,grid13,273
grid20,grid14,302
grid20,grid15,325
grid20,grid16,32
grid20,grid17,152
grid20,grid18,155
grid20,grid19,465
grid20,grid20,276
grid20,grid21,57
grid20,grid22,201
grid20,grid23,198
grid20,grid24,360
grid20,grid25,306
grid20,grid26,105
grid20,grid27,198
grid20,grid28,528
grid20,grid29,127
grid20,grid3,21
grid20,grid30,42
grid20,grid31,67
grid20,grid32,150
grid20,grid33,42
grid20,grid34,21
grid20,grid35,24
grid21,grid1,92
grid21,grid12,402
grid21,grid13,565
grid21,grid14,249
grid21,grid15,95
grid21,grid16,178
grid21,grid17,568
grid21,grid18,369
grid21,grid19,259
grid21,grid20,70
grid21,grid21,314
grid21,grid22,519
grid21,grid23,114
grid21,grid24,83
grid21,grid25,43
grid21,grid26,385
grid21,grid27,49
grid21,grid28,131
grid21,grid29,20
grid21,grid3,72
grid21,grid30,143
grid21,grid31,184
grid21,grid32,52
grid21,grid33,119
grid21,grid34,57
grid21,grid35,64
grid22,grid1,251
grid22,grid12,466
grid22,grid13,1240
grid22,grid14,618
grid22,grid15,234
grid22,grid16,258
grid22,grid17,1023
grid22,grid18,826
grid22,grid19,695
grid22,grid20,229
grid22,grid21,546
grid22,grid22,1073
grid22,grid23,344
grid22,grid24,314
grid22,grid25,196
grid22,grid26,814
grid22,grid27,308
grid22,grid28,423
grid22,grid29,63
grid22,grid3,173
grid22,grid30,294
grid22,grid31,712
grid22,grid32,231
grid22,grid33,290
grid22,grid34,323
grid22,grid35,224
grid23,grid1,106
grid23,grid12,162
grid23,grid13,378
grid23,grid14,496
grid23,grid15,165
grid23,grid16,50
grid23,grid17,317
grid23,grid18,445
grid23,grid19,473
grid23,grid20,192
grid23,grid21,140
grid23,grid22,401
grid23,grid23,287
grid23,grid24,333
grid23,grid25,139
grid23,grid26,298
grid23,grid27,524
grid23,grid28,363
grid23,grid29,67
grid23,grid3,68
grid23,grid30,94
grid23,grid31,159
grid23,grid32,252
grid23,grid33,80
grid23,grid34,57
grid23,grid35,42
grid24,grid1,55
grid24,grid12,103
grid24,grid13,351
grid24,grid14,412
grid24,grid15,284
grid24,grid16,53
grid24,grid17,204
grid24,grid18,245
grid24,grid19,800
grid24,grid20,251
grid24,grid21,97
grid24,grid22,287
grid24,grid23,376
grid24,grid24,684
grid24,grid25,370
grid24,grid26,334
grid24,grid27,587
grid24,grid28,1038
grid24,grid29,176
grid24,grid3,37
grid24,grid30,87
grid24,grid31,205
grid24,grid32,450
grid24,grid33,104
grid24,grid34,74
grid24,grid35,36
grid25,grid1,29
grid25,grid12,47
grid25,grid13,173
grid25,grid14,143
grid25,grid15,154
grid25,grid16,23
grid25,grid17,115
grid25,grid18,109
grid25,grid19,319
grid25,grid20,216
grid25,grid21,44
grid25,grid22,109
grid25,grid23,144
grid25,grid24,348
grid25,grid25,173
grid25,grid26,122
grid25,grid27,218
grid25,grid28,484
grid25,grid29,176
grid25,grid3,31
grid25,grid30,49
grid25,grid31,100
grid25,grid32,157
grid25,grid33,56
grid25,grid34,20
grid25,grid35,23
grid26,grid1,39
grid26,grid12,158
grid26,grid13,329
grid26,grid14,175
grid26,grid15,97
grid26,grid16,87
grid26,grid17,386
grid26,grid18,313
grid26,grid19,271
grid26,grid20,121
grid26,grid21,329
grid26,grid22,828
grid26,grid23,207
grid26,grid24,302
grid26,grid25,174
grid26,grid26,608
grid26,grid27,286
grid26,grid28,337
grid26,grid29,64
grid26,grid3,47
grid26,grid30,365
grid26,grid31,818
grid26,grid32,215
grid26,grid33,522
grid26,grid34,256
grid26,grid35,258
grid27,grid1,28
grid27,grid12,67
grid27,grid13,216
grid27,grid14,231
grid27,grid15,86
grid27,grid16,26
grid27,grid17,140
